Title,total_collaborations,average_collaborations,BoxOffice
Ant-Man,2568.0,2568.0,180202163.0
Ant-Man and the Wasp,12801.0,6400.5,216648740.0
Ant-Man and the Wasp: Quantumania,12801.0,6400.5,214504909.0
Avengers: Age of Ultron,181605.0,18160.5,459005868.0
Avengers: Endgame,231441.0,16531.5,858373000.0
Avengers: Infinity War,220362.0,13772.625,678815482.0
Black Panther,10284.0,5142.0,700426566.0
Black Panther: Wakanda Forever,10302.0,3434.0,453829060.0
Black Widow,10656.0,10656.0,183651655.0
Captain America: Civil War,129984.0,25996.8,408084349.0
Captain America: The First Avenger,47964.0,15988.0,176654505.0
Captain America: The Winter Soldier,58572.0,19524.0,259766572.0
Captain Marvel,24222.0,12111.0,426829839.0
Deadpool,29670.0,14835.0,363070709.0
Deadpool 2,42828.0,10707.0,324591735.0
Doctor Strange,11211.0,11211.0,232641920.0
Doctor Strange in the Multiverse of Madness,24942.0,12471.0,411331607.0
Elektra,2475.0,1237.5,24409722.0
Eternals,1809.0,452.25,164870234.0
Fantastic Four,53133.0,17711.0,154696080.0
Fantastic Four: Rise of the Silver Surfer,58929.0,14732.25,131921738.0
Ghost Rider,3987.0,3987.0,115802596.0
Ghost Rider: Spirit of Vengeance,4044.0,2022.0,51774002.0
Guardians of the Galaxy,3003.0,1001.0,333718600.0
Guardians of the Galaxy Vol. 2,4275.0,1068.75,389813101.0
Guardians of the Galaxy Vol. 3,4275.0,1068.75,358995815.0
Iron Man,38928.0,12976.0,319034126.0
Iron Man 2,48582.0,16194.0,312433331.0
Iron Man 3,37926.0,18963.0,409013994.0
Logan,56439.0,18813.0,226277068.0
Shang-Chi and the Legend of the Ten Rings,1407.0,1407.0,224543292.0
Spider-Man,41970.0,20985.0,407774549.0
Spider-Man 2,50253.0,16751.0,374337514.0
Spider-Man 3,44733.0,14911.0,337281992.0
Spider-Man: Far from Home,50802.0,25401.0,391283774.0
Spider-Man: Homecoming,78237.0,39118.5,334952829.0
Spider-Man: No Way Home,53181.0,17727.0,814866759.0
The Amazing Spider-Man,44019.0,14673.0,262782352.0
The Amazing Spider-Man 2,44796.0,11199.0,203605622.0
The Avengers,158652.0,19831.5,623357910.0
The Incredible Hulk,18924.0,9462.0,134806913.0
The Marvels,17757.0,5919.0,84500223.0
The New Mutants,20340.0,5085.0,23852659.0
The Wolverine,41694.0,41694.0,132556852.0
Thor,25617.0,12808.5,181030624.0
Thor: Love and Thunder,25404.0,12702.0,343256830.0
Thor: Ragnarok,31134.0,10378.0,315058289.0
Thor: The Dark World,31347.0,10449.0,206362140.0
Venom,2403.0,1201.5,213515506.0
Venom: Let There Be Carnage,3333.0,1111.0,213550366.0
X-Men,66333.0,22111.0,157299718.0
X-Men Origins: Wolverine,54681.0,18227.0,179883157.0
X-Men: Apocalypse,90093.0,15015.5,155442489.0
X-Men: Dark Phoenix,67278.0,13455.6,65845974.0
X-Men: Days of Future Past,95499.0,19099.8,233921534.0
X-Men: First Class,29361.0,9787.0,146408305.0
X-Men: The Last Stand,75855.0,25285.0,234362462.0
X2: X-Men United,75855.0,25285.0,214949694.0
